State,Year,Electric,Plug-In Hybrid Electric,
Alabama,2016,500,900,
Alaska,2016,200,200,
Arizona,2016,4700,4400,
Arkansas,2016,200,500,
California,2016,141500,116700,
Colorado,2016,5300,3800,
Connecticut,2016,2000,2800,
Delaware,2016,300,700,
District of Columbia,2016,600,500,
Florida,2016,11600,10100,
Georgia,2016,18000,4000,
Hawaii,2016,4200,1200,
Idaho,2016,400,600,
Illinois,2016,5800,6000,
Indiana,2016,1300,2400,
Iowa,2016,400,1200,
Kansas,2016,600,1000,
Kentucky,2016,500,900,
Louisiana,2016,400,500,
Maine,2016,300,1000,
Maryland,2016,3200,5000,
Massachusetts,2016,3600,5200,
Michigan,2016,1600,11600,
Minnesota,2016,1600,2400,
Mississippi,2016,100,200,
Missouri,2016,1400,2100,
Montana,2016,200,200,
Nebraska,2016,300,600
Nevada,2016,2000,1400,
New Hampshire,2016,400,1000,
New Jersey,2016,4200,5500,
New Mexico,2016,500,600,
New York,2016,6100,12100,
North Carolina,2016,2900,3600,
North Dakota,2016,0,100,
Ohio,2016,2600,4400,
Oklahoma,2016,600,700,
Oregon,2016,7700,4300,
Pennsylvania,2016,6200,5400,
Rhode Island,2016,300,600,
South Carolina,2016,800,1200,
South Dakota,2016,100,200,
Tennessee,2016,2600,1700,
Texas,2016,11900,8000,
Utah,2016,2500,1700,
Vermont,2016,300,1200,
Virginia,2016,3100,4200,
Washington,2016,14900,6400,
West Virginia,2016,100,300,
Wisconsin,2016,2600,2600,
Wyoming,2016,100,100,
Alabama,2017,800,1100,
Alaska,2017,400,300,
Arizona,2017,7200,5800,
Arkansas,2017,300,600,
California,2017,189700,159600,
Colorado,2017,8000,5200,
Connecticut,2017,3000,3900,
Delaware,2017,400,900,
District of Columbia,2017,800,700,
Florida,2017,15900,13400,
Georgia,2017,14400,5200,
Hawaii,2017,5400,1700,
Idaho,2017,700,800,
Illinois,2017,8300,7700,
Indiana,2017,1900,3200,
Iowa,2017,600,1500,
Kansas,2017,1000,1300,
Kentucky,2017,700,1200,
Louisiana,2017,600,700,
Maine,2017,500,1300,
Maryland,2017,4400,6500,
Massachusetts,2017,5600,7900,
Michigan,2017,2500,12000,
Minnesota,2017,2300,3100,
Mississippi,2017,200,300,
Missouri,2017,2100,3300,
Montana,2017,300,300,
Nebraska,2017,500,800,
Nevada,2017,3100,2000,
New Hampshire,2017,600,1500,
New Jersey,2017,6900,8100,
New Mexico,2017,700,1000,
New York,2017,9400,17100,
North Carolina,2017,4400,4800,
North Dakota,2017,100,200,
Ohio,2017,3700,5600,
Oklahoma,2017,1200,900,
Oregon,2017,10000,6000,
Pennsylvania,2017,4400,7500,
Rhode Island,2017,400,800,
South Carolina,2017,1200,1600,
South Dakota,2017,100,200,
Tennessee,2017,2900,2100,
Texas,2017,16100,10900,
Utah,2017,3600,2500,
Vermont,2017,700,1600,
Virginia,2017,5100,6100,
Washington,2017,21000,9800,
West Virginia,2017,100,400,
Wisconsin,2017,2800,3500,
Wyoming,2017,100,100,
Alabama,2018,1300,1500,
Alaska,2018,500,300,
Arizona,2018,12600,7700,
Arkansas,2018,600,800,
California,2018,273500,215000,
Colorado,2018,12500,7400,
Connecticut,2018,5000,5200,
Delaware,2018,800,1200,
District of Columbia,2018,1100,1000,
Florida,2018,27400,17400,
Georgia,2018,15900,7000,
Hawaii,2018,6600,2400,
Idaho,2018,1100,1100,
Illinois,2018,13600,9900,
Indiana,2018,3400,4100,
Iowa,2018,1100,2000,
Kansas,2018,1700,1800,
Kentucky,2018,1200,1500,
Louisiana,2018,900,900,
Maine,2018,800,1800,
Maryland,2018,8400,8400,
Massachusetts,2018,10300,11600,
Michigan,2018,4200,12300,
Minnesota,2018,4900,4800,
Mississippi,2018,300,500,
Missouri,2018,3500,4200,
Montana,2018,500,400,
Nebraska,2018,900,1000,
Nevada,2018,5100,2900,
New Hampshire,2018,1200,2000,
New Jersey,2018,13400,10800,
New Mexico,2018,1300,1300,
New York,2018,15500,24300,
North Carolina,2018,7300,6500,
North Dakota,2018,100,200,
Ohio,2018,6400,7200,
Oklahoma,2018,3700,1300,
Oregon,2018,13800,8400,
Pennsylvania,2018,8000,9500,
Rhode Island,2018,700,1200,
South Carolina,2018,2000,2200,
South Dakota,2018,200,300,
Tennessee,2018,3900,2900,
Texas,2018,24500,14700,
Utah,2018,5600,3400,
Vermont,2018,1100,2000,
Virginia,2018,9900,8100,
Washington,2018,30200,13700,
West Virginia,2018,200,500,
Wisconsin,2018,3700,4500,
Wyoming,2018,200,200,
Alabama,2019,2000,1800,
Alaska,2019,700,400,
Arizona,2019,19500,9600,
Arkansas,2019,900,1000,
California,2019,349700,247300,
Colorado,2019,19200,9300,
Connecticut,2019,6900,5700,
Delaware,2019,1300,1300,
District of Columbia,2019,1800,1300,
Florida,2019,40300,20400,
Georgia,2019,19000,8400,
Hawaii,2019,8800,2900,
Idaho,2019,1600,1500,
Illinois,2019,19300,11600,
Indiana,2019,5100,4700,
Iowa,2019,1600,2400,
Kansas,2019,2300,2100,
Kentucky,2019,1900,1800,
Louisiana,2019,1400,1000,
Maine,2019,1300,2200,
Maryland,2019,13200,10000,
Massachusetts,2019,14100,12900,
Michigan,2019,6600,12400,
Minnesota,2019,7700,5800,
Mississippi,2019,500,600,
Missouri,2019,4900,5000,
Montana,2019,700,500,
Nebraska,2019,1300,1100,
Nevada,2019,7900,3600,
New Hampshire,2019,1900,2200,
New Jersey,2019,20200,11700,
New Mexico,2019,1900,1600,
New York,2019,23000,28000,
North Carolina,2019,11600,8100,
North Dakota,2019,200,200,
Ohio,2019,10200,8600,
Oklahoma,2019,3400,1600,
Oregon,2019,18800,10400,
Pennsylvania,2019,12000,11200,
Rhode Island,2019,1100,1300,
South Carolina,2019,3000,2600,
South Dakota,2019,300,400,
Tennessee,2019,5700,3600,
Texas,2019,38400,18100,
Utah,2019,8000,4400,
Vermont,2019,1700,2000,
Virginia,2019,15000,9800,
Washington,2019,40400,16100,
West Virginia,2019,400,600,
Wisconsin,2019,4700,5300,
Wyoming,2019,200,200,
Alabama,2020,2900,2100,
Alaska,2020,900,400,
Arizona,2020,28800,11200,
Arkansas,2020,1300,1100,
California,2020,425300,265500,
Colorado,2020,24700,10800,
Connecticut,2020,9000,6200,
Delaware,2020,1900,1500,
District of Columbia,2020,2400,1600,
Florida,2020,58200,22400,
Georgia,2020,23500,9400,
Hawaii,2020,10700,3200,
Idaho,2020,2300,1700,
Illinois,2020,26000,13000,
Indiana,2020,7000,5300,
Iowa,2020,2300,2600,
Kansas,2020,3100,2400,
Kentucky,2020,2600,2100,
Louisiana,2020,2000,1200,
Maine,2020,1900,2800,
Maryland,2020,1800,11900,
Massachusetts,2020,21000,15600,
Michigan,2020,10600,12500,
Minnesota,2020,10400,6700,
Mississippi,2020,800,700,
Missouri,2020,6700,5300,
Montana,2020,900,600,
Nebraska,2020,1800,1300,
Nevada,2020,11000,4200,
New Hampshire,2020,2700,2500,
New Jersey,2020,30400,12800,
New Mexico,2020,2600,1900,
New York,2020,32600,32600,
North Carolina,2020,16200,9300,
North Dakota,2020,200,300,
Ohio,2020,14500,9500,
Oklahoma,2020,3400,1800,
Oregon,2020,22800,11800,
Pennsylvania,2020,17500,12800,
Rhode Island,2020,1600,1600,
South Carolina,2020,4400,3000,
South Dakota,2020,400,500,
Tennessee,2020,7800,4300,
Texas,2020,52200,20400,
Utah,2020,11200,5200,
Vermont,2020,2200,2300,
Virginia,2020,20500,11200,
Washington,2020,50500,18400,
West Virginia,2020,600,700,
Wisconsin,2020,6300,5900,
Wyoming,2020,300,300,
Alabama,2021,4700,3300,
Alaska,2021,1300,500,
Arizona,2021,40700,15500,
Arkansas,2021,2400,1800,
California,2021,563100,315300,
Colorado,2021,37000,16100,
Connecticut,2021,13300,9200,
Delaware,2021,3000,2000,
District of Columbia,2021,3700,2500,
Florida,2021,95600,32200,
Georgia,2021,34000,13600,
Hawaii,2021,14200,4500,
Idaho,2021,3500,2500,
Illinois,2021,36500,18300,
Indiana,2021,10400,7500,
Iowa,2021,3700,3600,
Kansas,2021,4500,3300,
Kentucky,2021,4200,3100,
Louisiana,2021,3200,2000,
Maine,2021,3000,4200,
Maryland,2021,25600,17200,
Massachusetts,2021,30500,22200,
Michigan,2021,17500,17200,
Minnesota,2021,15000,8900,
Mississippi,2021,1300,1100,
Missouri,2021,10000,7200,
Montana,2021,1600,1100,
Nebraska,2021,2700,2000,
Nevada,2021,17400,6300,
New Hampshire,2021,4000,3500,
New Jersey,2021,47800,18500,
New Mexico,2021,4200,2800,
New York,2021,51900,44600,
North Carolina,2021,25200,13500,
North Dakota,2021,400,400,
Ohio,2021,21200,13100,
Oklahoma,2021,7100,6900,
Oregon,2021,30300,16900,
Pennsylvania,2021,26800,17800,
Rhode Island,2021,2500,2400,
South Carolina,2021,7400,4700,
South Dakota,2021,700,700,
Tennessee,2021,12200,6300,
Texas,2021,80900,30600,
Utah,2021,16500,7500,
Vermont,2021,3400,3200,
Virginia,2021,30700,15800,
Washington,2021,66800,24300,
West Virginia,2021,1000,1000,
Wisconsin,2021,9300,7700,
Wyoming,2021,500,400,